TIME,DISTANCE,TARGET_HEADING,CURRENT_HEADING,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR
20,0,600,761,2028,2028,3502,-161
40,0,600,816,2028,2028,3502,-216
60,0,600,722,3502,3502,2028,-122
80,0,600,625,2028,2028,3502,-25
100,0,600,765,2028,2028,3502,-165
120,0,600,775,3502,3502,2028,-175
140,0,600,580,3502,3502,2028,20
160,0,600,547,2028,2028,3502,53
180,0,600,672,2028,2028,3502,-72
200,0,600,601,3502,3502,2028,-1
220,0,600,501,3502,3502,2028,99
240,0,600,612,2028,2028,3502,-12
260,0,600,731,3502,3502,2028,-131
280,0,600,583,3502,3502,2028,17
300,0,600,516,2028,2028,3502,84
320,0,600,633,2028,2028,3502,-33
340,0,600,666,3502,3502,2028,-66
360,0,600,554,3502,3502,2028,46
380,0,600,570,2028,2028,3502,30
400,0,600,710,2028,2028,3502,-110
420,0,600,613,3502,3502,2028,-13
440,0,600,536,2028,2028,3502,64
460,0,600,622,2028,2028,3502,-22
480,0,600,603,3502,3502,2028,-3
500,0,600,557,2028,2028,3502,43
520,0,600,702,2028,2028,3502,-102
540,0,600,749,3502,3502,2028,-149
560,0,600,577,3502,3502,2028,23
580,0,600,544,2028,2028,3502,56
600,0,600,661,2028,2028,3502,-61
620,0,600,671,3502,3502,2028,-71
640,0,600,546,3502,3502,2028,54
660,0,600,591,2028,2028,3502,9
680,0,600,711,2028,2028,3502,-111
700,0,600,559,3502,3502,2028,41
720,0,600,445,3502,3502,2028,155
740,0,600,536,2028,2028,3502,64
760,0,600,650,2028,2028,3502,-50
780,0,600,575,3502,3502,2028,25
800,0,600,582,2028,2028,3502,18
820,0,600,721,2028,2028,3502,-121
840,0,600,622,3502,3502,2028,-22
860,0,600,551,2028,2028,3502,49
880,0,600,656,2028,2028,3502,-56
900,0,600,712,3502,3502,2028,-112
920,0,600,561,3502,3502,2028,39
940,0,600,573,2028,2028,3502,27
960,0,600,704,2028,2028,3502,-104
980,0,600,626,3502,3502,2028,-26
1000,0,600,569,2028,2028,3502,31
1020,0,1800,734,2765,3502,2028,1066
1040,0,1800,1076,2765,2028,3502,724
1060,0,1800,1760,2765,2028,3502,40
1080,0,1800,2173,2765,2028,3502,-373
1100,0,1800,2126,2765,3502,2028,-326
