TIME,DISTANCE,TARGET_HEADING,CURRENT_HEADING,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR
1120,0,1800,1876,2765,3502,2028,-76
1140,0,1800,1845,2765,2028,3502,-45
1160,0,1800,1994,2765,2028,3502,-194
1180,0,1800,1900,2765,3502,2028,-100
1200,0,1800,1737,2765,2028,3502,63
1220,0,1800,1833,2765,2028,3502,-33
1240,0,1800,1912,2765,3502,2028,-112
1260,0,1800,1807,2765,3502,2028,-7
1280,0,1800,1821,2765,2028,3502,-21
1300,0,1800,1907,2765,3502,2028,-107
1320,0,1800,1780,2765,3502,2028,20
1340,0,1800,1771,2765,2028,3502,29
1360,0,1800,1934,2765,2028,3502,-134
1380,0,1800,1854,2765,3502,2028,-54
1400,0,1800,1734,2765,2028,3502,66
1420,0,1800,1855,2765,2028,3502,-55
1440,0,1800,1912,2765,2028,3502,-112
1460,0,1800,1716,2765,3502,2028,84
1480,0,1800,1675,2765,2028,3502,125
1500,0,1800,1862,2765,2028,3502,-62
1520,0,1800,1853,2765,3502,2028,-53
1540,0,1800,1648,2765,3502,2028,152
1560,0,1800,1700,2765,2028,3502,100
1580,0,1800,1894,2765,2028,3502,-94
1600,0,1800,1793,2765,3502,2028,7
1620,0,1800,1667,2765,2028,3502,133
1640,0,1800,1828,2765,2028,3502,-28
1660,0,1800,1935,2765,2028,3502,-135
1680,0,1800,1785,2765,3502,2028,15
1700,0,1800,1763,2765,2028,3502,37
1720,0,1800,1943,2765,2028,3502,-143
1740,0,1800,1933,2765,3502,2028,-133
1760,0,1800,1772,2765,3502,2028,28
1780,0,1800,1846,2765,2028,3502,-46
1800,0,1800,1915,2765,2028,3502,-115
1820,0,1800,1770,2765,3502,2028,30
1840,0,1800,1778,2765,2028,3502,22
1860,0,1800,1966,2765,2028,3502,-166
1880,0,1800,1911,2765,3502,2028,-111
1900,0,1800,1759,2765,3502,2028,41
1920,0,1800,1861,2765,2028,3502,-61
1940,0,1800,1888,2765,3502,2028,-88
1960,0,1800,1740,2765,3502,2028,60
1980,0,1800,1839,2765,2028,3502,-39
2000,0,1800,1916,2765,2028,3502,-116
2020,0,3000,1735,3502,2765,2765,1265
2040,0,3000,1673,3502,2765,2765,1327
2060,0,3000,1899,3502,2765,2765,1101
2080,0,3000,2277,2028,2765,2765,723
2100,0,3000,2607,2028,2765,2765,393
2120,0,3000,2833,2028,2765,2765,167
2140,0,3000,2998,2028,2765,2765,2
2160,0,3000,3092,2028,2765,2765,-92
2180,0,3000,3111,2028,2765,2765,-111
2200,0,3000,3079,3502,2765,2765,-79
2220,0,3000,3035,2028,2765,2765,-35
2240,0,3000,3034,2028,2765,2765,-34
2260,0,3000,3046,2028,2765,2765,-46
2280,0,3000,3034,2028,2765,2765,-34
2300,0,3000,3003,3502,2765,2765,-3
2320,0,3000,3007,3502,2765,2765,-7
2340,0,3000,3014,3502,2765,2765,-14
2360,0,3000,2997,3502,2765,2765,3
2380,0,3000,2985,2028,2765,2765,15
2400,0,3000,2996,2028,2765,2765,4
2420,0,3000,2988,3502,2765,2765,12
2440,0,3000,2965,3502,2765,2765,35
2460,0,3000,2982,2028,2765,2765,18
2480,0,3000,2988,2028,2765,2765,12
2500,0,3000,2974,3502,2765,2765,26
2520,0,3000,2968,2028,2765,2765,32
2540,0,3000,2992,2028,2765,2765,8
2560,0,3000,2987,2028,2765,2765,13
2580,0,3000,2965,3502,2765,2765,35
2600,0,3000,2979,2028,2765,2765,21
2620,0,3000,2976,3502,2765,2765,24
2640,0,3000,2963,2028,2765,2765,37
2660,0,3000,2983,2028,2765,2765,17
2680,0,3000,3001,2028,2765,2765,-1
2700,0,3000,2991,3502,2765,2765,9
2720,0,3000,2997,2028,2765,2765,3
2740,0,3000,2985,3502,2765,2765,15
2760,0,3000,2970,3502,2765,2765,30
2780,0,3000,2981,2028,2765,2765,19
2800,0,3000,2969,3502,2765,2765,31
2820,0,3000,2988,2028,2765,2765,12
2840,0,3000,2989,3502,2765,2765,11
2860,0,3000,2968,3502,2765,2765,32
2880,0,3000,2982,2028,2765,2765,18
2900,0,3000,3014,3502,2765,2765,-14
2920,0,3000,3020,2028,2765,2765,-20
2940,0,3000,3002,2028,2765,2765,-2
2960,0,3000,3004,3502,2765,2765,-4
2980,0,3000,2997,2028,2765,2765,3
3000,0,3000,3025,2028,2765,2765,-25
3020,0,600,3027,3502,3502,2028,-2427
3040,0,600,3161,3502,3502,2028,-2561
3060,0,600,3528,2028,2028,3502,-2928
3080,0,600,286,2028,2028,3502,314
3100,0,600,470,3502,3502,2028,130
3120,0,600,395,3502,3502,2028,205
3140,0,600,416,2028,2028,3502,184
3160,0,600,577,2028,2028,3502,23
3180,0,600,570,3502,3502,2028,30
3200,0,600,474,3502,3502,2028,126
