TIME,DISTANCE,TARGET_HEADING,CURRENT_HEADING_1,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR,CURRENT_HEADING
2200,0,3000,3038,2028,2765,2765,-38,2734.2
2220,0,3000,3032,2028,2765,2765,-32,2728.8
2240,0,3000,3016,3502,2765,2765,-16,2714.4
2260,0,3000,3018,2028,2765,2765,-18,2716.2
2280,0,3000,3027,3502,2765,2765,-27,2724.3
2300,0,3000,3017,3502,2765,2765,-17,2715.3
2320,0,3000,3012,3502,2765,2765,-12,2710.8
2340,0,3000,3029,2028,2765,2765,-29,2726.1
2360,0,3000,3027,3502,2765,2765,-27,2724.3
2380,0,3000,3019,2028,2765,2765,-19,2717.1
2400,0,3000,3024,3502,2765,2765,-24,2721.6
2420,0,3000,3009,3502,2765,2765,-9,2708.1
2440,0,3000,3017,3502,2765,2765,-17,2715.3
2460,0,3000,3011,3502,2765,2765,-11,2709.9
2480,0,3000,2997,3502,2765,2765,3,2697.3
2500,0,3000,3015,2028,2765,2765,-15,2713.5
2520,0,3000,3013,3502,2765,2765,-13,2711.7
2540,0,3000,3000,3502,2765,2765,0,2700
2560,0,3000,3022,2028,2765,2765,-22,2719.8
2580,0,3000,3030,2028,2765,2765,-30,2727
2600,0,3000,3021,3502,2765,2765,-21,2718.9
2620,0,3000,3004,2028,2765,2765,-4,2703.6
2640,0,3000,3008,2028,2765,2765,-8,2707.2
2660,0,3000,2998,3502,2765,2765,2,2698.2
2680,0,3000,2998,2028,2765,2765,2,2698.2
2700,0,3000,3006,2028,2765,2765,-6,2705.4
2720,0,3000,3015,2028,2765,2765,-15,2713.5
2740,0,3000,3025,2028,2765,2765,-25,2722.5
2760,0,3000,3010,3502,2765,2765,-10,2709
2780,0,3000,3012,2028,2765,2765,-12,2710.8
2800,0,3000,3001,3502,2765,2765,-1,2700.9
2820,0,3000,2999,2028,2765,2765,1,2699.1
2840,0,3000,3011,2028,2765,2765,-11,2709.9
2860,0,3000,3004,3502,2765,2765,-4,2703.6
2880,0,3000,2998,3502,2765,2765,2,2698.2
2900,0,3000,3007,3502,2765,2765,-7,2706.3
2920,0,3000,3015,2028,2765,2765,-15,2713.5
2940,0,3000,3016,3502,2765,2765,-16,2714.4
2960,0,3000,3002,3502,2765,2765,-2,2701.8
2980,0,3000,3010,2028,2765,2765,-10,2709
3000,0,3000,2999,3502,2765,2765,1,2699.1
3020,0,600,2978,3502,3502,2028,-2378,2680.2
3040,0,600,2922,3502,3502,2028,-2322,2629.8
3060,0,600,2597,3502,3502,2028,-1997,2337.3
3080,0,600,2457,3502,3502,2028,-1857,2211.3
