TIME,HEADING,HEADING_ERROR,STEERING_SERVO_PW,DISTANCE,AD_VALUE,DRIVE_MOTOR_PW
21010,3232,1268,3214,32,255,3402
21020,3181,1319,3214,62,255,3402
21030,3065,1435,3214,66,255,3402
21040,2007,-1107,2246,61,255,3402
21050,1855,-955,2296,61,255,3402
21060,1797,-897,2323,65,255,3402
21070,1754,-854,2342,59,255,3402
21080,1651,-751,2389,60,255,3402
21090,1585,-685,2419,92,255,3402
21100,1460,-560,2476,90,255,3402
21110,1416,-516,2496,60,255,3402
21120,1388,-488,2509,66,255,3402
21130,1295,-395,2551,62,255,3402
21140,1183,-283,2602,63,255,3402
21150,609,291,2862,60,255,3402
21160,420,480,2948,87,255,3402
21170,248,652,3026,67,255,3402
21180,225,675,3036,65,255,3402
21190,235,665,3032,65,255,3402
21200,246,654,3027,57,255,3402
21210,258,642,3021,101,255,3402
21220,284,616,3010,62,255,3402
21230,292,608,3006,68,255,3402
21240,291,609,3006,71,255,3402
21250,292,608,3006,64,255,3402
21260,296,604,3004,58,255,3402
21270,331,569,2988,62,255,3402
21280,361,539,2975,65,255,3402
21290,434,466,2941,68,255,3402
21300,475,425,2923,60,255,3402
21310,565,335,2882,62,255,3402
21320,614,286,2860,64,255,3402
21330,703,197,2819,58,255,3402
21340,740,160,2802,60,255,3402
21350,775,125,2786,55,255,3402
21360,838,62,2758,50,255,3402
21370,865,35,2745,44,255,3402
21380,903,-3,2729,60,255,3402
21390,920,-20,2721,28,255,3402
21400,928,-28,2718,22,255,3402
21410,921,-21,2721,62,255,3402
21420,921,-21,2721,69,255,3402
21430,921,-21,2721,62,255,3402
21440,920,-20,2721,62,255,3402
21450,920,-20,2721,62,255,3402
21460,920,-20,2721,62,255,3402
21470,920,-20,2721,59,255,3402
21480,920,-20,2721,57,255,3402
21490,920,-20,2721,52,255,3402
21500,921,-21,2721,61,255,3402
21510,923,-21,2721,60,255,3402
21520,921,-21,2721,61,255,3402
21530,921,-21,2721,23,255,3402
21540,921,-21,2721,5,255,3402
21550,923,23,2740,51,255,2128
21560,922,22,2740,58,255,2128
21570,923,23,2740,69,255,2128
21580,924,24,2740,64,255,2128
21590,923,23,2740,58,255,2128
21600,924,24,2740,59,255,2128
21610,926,26,2741,68,255,2128
21620,927,27,2742,63,255,2128
21630,933,33,2745,55,255,2128
21640,936,36,2746,60,255,2128
21650,931,31,2744,23,255,2128
21660,923,23,2740,27,255,2128
21670,916,16,2737,32,255,2128
21680,895,-5,2728,40,255,2128
21690,886,-14,2724,44,255,2128
21700,858,-42,2711,47,255,2128
21710,846,-54,2706,52,255,2128
21720,817,-83,2693,58,255,2128
21730,801,-99,2685,63,255,2128
21740,768,-132,2670,62,255,2128
21750,749,-151,2662,58,255,2128
21760,726,-174,2651,59,255,2128
21770,688,-212,2634,61,255,2128
21780,674,-226,2628,60,255,2128
21790,655,-245,2619,60,255,2128
21800,649,-251,2616,58,255,2128
21810,649,-251,2616,60,255,2128
21820,655,-245,2619,66,255,2128
21830,668,-232,2625,61,255,2128
21840,702,-198,2640,59,255,2128
21850,721,-179,2649,61,255,2128
21860,758,-142,2666,61,255,2128
21870,776,-124,2674,64,255,2128
21880,835,-65,2701,57,255,2128
21890,867,-33,2715,59,255,2128
21900,900,0,2730,63,255,2128
21910,943,43,2749,65,255,2128
21920,966,66,2760,67,255,2128
21930,1004,104,2777,63,255,2128
21940,1019,119,2784,60,255,2128
21950,1035,135,2791,62,255,2128
21960,1041,141,2794,58,255,2128
21970,1040,140,2793,62,255,2128
21980,1034,134,2790,58,255,2128
21990,1020,120,2784,62,255,2128
22000,963,63,2758,65,255,2128
22010,929,29,2743,61,255,2128
22020,876,-24,2720,58,255,2128
22030,871,-29,2717,62,255,2128
22040,910,10,2734,64,255,2128
22050,936,36,2746,64,255,2128
22060,992,92,2771,64,255,2128
22070,1012,112,2780,58,255,2128
22080,1029,129,2788,56,255,2128
22090,1043,143,2795,60,255,2128
22100,1042,142,2794,74,255,2128
22110,1023,123,2785,62,255,2128
22120,1007,107,2778,56,255,2128
22130,970,70,2761,60,255,2128
22140,954,54,2754,58,255,2128
22150,932,32,2744,58,255,2128
22160,921,21,2739,60,255,2128
22170,909,9,2734,62,255,2128
22180,884,-16,2723,64,255,2128
22190,874,-26,2719,56,255,2128
22200,871,-29,2717,53,255,2128
22210,884,-16,2723,56,255,2128
22220,928,28,2742,59,255,2128
22230,966,66,2760,54,255,2128
22240,1006,106,2778,60,255,2128
22250,1079,179,2811,67,255,2128
22260,1111,211,2825,63,255,2128
22270,1143,243,2840,61,255,2128
22280,1148,248,2842,52,255,2128
22290,1109,209,2825,56,255,2128
22300,1058,158,2801,58,255,2128
22310,832,-68,2700,62,255,2128
22320,704,-196,2641,51,255,2128
