TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
974,2765,2845,0,0
975,2765,2845,0,0
976,2765,2845,0,0
977,2765,2845,0,0
978,2765,2845,0,0
979,2765,2845,0,0
980,2765,2845,0,0
981,3505,2845,0,-32
982,3505,2845,0,-32
983,3505,2845,0,-32
984,3505,2845,0,-32
986,3505,2845,0,-32
987,3505,2845,0,-32
988,3505,2845,0,-32
989,3505,2845,0,-32
990,3505,2845,0,-32
992,3505,3340,36,0
993,3505,3340,36,0
995,3505,3340,36,0
996,3505,3340,36,0
997,3505,3340,36,0
998,3505,3340,36,0
999,3505,3340,36,0
1000,3505,3340,36,0
1001,3505,3340,28,0
1002,3505,3340,28,0
1003,3505,3340,28,0
1004,3505,3340,28,0
1005,3505,3340,28,0
1006,3505,3340,28,0
1008,3505,3340,28,0
1009,3505,3340,28,0
1010,3505,3340,28,0
1011,3505,2305,-32,-64
1012,3505,2305,-32,-64
1015,3505,2305,-32,-64
1016,3505,2305,-32,-64
1017,3505,2305,-32,-64
1018,3505,2305,-32,-64
1019,3505,2305,-32,-64
1020,3505,2305,-32,-64
1021,3505,3340,28,-24
1022,3505,3340,28,-24
1023,3505,3340,28,-24
1024,3505,3340,28,-24
1026,3505,3340,28,-24
1027,3505,3340,28,-24
1028,3505,3340,28,-24
1029,3505,3340,28,-24
1030,3505,3340,28,-24
1031,3505,2305,-72,-72
1032,3505,2305,-72,-72
1033,3505,2305,-72,-72
1034,3505,2305,-72,-72
1035,3505,2317,-72,-72
1037,3505,2305,-72,-72
1038,3505,2305,-72,-72
1039,3505,2305,-72,-72
1041,3505,3340,124,24
1042,3505,3340,124,24
1044,3505,3340,124,24
1045,3505,3340,124,24
1046,3505,3340,124,24
1048,3505,3340,124,24
1049,3505,3340,124,24
1051,3505,2305,-28,-64
1052,3505,2305,-28,-64
1053,3505,2305,-28,-64
1055,3505,2305,-28,-64
1056,3505,2305,-28,-64
1057,3505,2305,-28,-64
1058,3505,2305,-28,-64
1059,3505,2305,-28,-64
1060,3505,2305,-28,-64
1061,2765,3340,52,52
1062,2765,3340,52,52
1063,2765,3340,52,52
1064,2765,3340,52,52
1065,2765,3340,52,52
1066,2765,3340,52,52
1067,2765,3340,52,52
1068,2765,3340,52,52
1069,2765,3340,52,52
1070,2765,3340,52,52
1071,2765,2845,0,0
1072,2765,2845,0,0
1073,2765,2845,0,0
1074,2765,2845,0,0
1075,2765,2845,0,0
1076,2765,2845,0,0
