TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1715,2028,2845,0,-36
1716,2028,2845,0,-36
1717,2028,2845,0,-36
1718,2028,2845,0,-36
1719,2028,2845,0,-36
1720,2028,2845,0,-36
1722,2028,2845,0,-32
1723,2028,2845,0,-32
1725,2028,2845,0,-32
1726,2028,2845,0,-32
1727,2028,2845,0,-32
1728,2028,2845,0,-32
1729,2028,2845,0,-32
1731,2028,3340,-52,36
1733,2028,3340,-52,36
1734,2028,3340,-52,36
1735,2028,3340,-52,36
1736,2028,3340,-52,36
1737,2028,3340,-52,36
1738,2028,3340,-52,36
1740,2028,3340,-52,36
1741,2765,3340,-28,36
1742,2765,3340,-28,36
1743,2765,3340,-28,36
1744,2765,3340,-28,36
1745,2765,3340,-28,36
1746,2765,3340,-28,36
1747,2765,3340,-28,36
1748,2765,3340,-28,36
1749,2765,3340,-28,36
1750,2765,3340,-28,36
1751,2028,3340,-28,-24
1752,2028,3340,-28,-24
1753,2028,3340,-28,-24
1754,2028,3340,-28,-24
1755,2028,3340,-28,-24
1757,2028,3340,-28,-24
1758,2028,3340,-28,-24
1759,2028,3340,-28,-24
1760,2028,3340,-28,-24
1761,2565,3340,-24,20
1762,2565,3340,-24,20
1764,2565,3340,-24,20
1765,2565,3340,-24,20
1766,2565,3340,-24,20
1767,2565,3340,-24,20
1768,2565,3340,-24,20
1769,2565,3340,-24,20
1770,2565,3340,-24,20
1771,2028,3340,-84,0
1772,2028,3340,-84,0
1775,2028,3340,-84,0
1777,2028,3340,-84,0
1778,2028,3340,-84,0
1779,2028,3340,-84,0
1782,2028,3340,-124,-36
1784,2028,3340,-124,-36
1785,2028,3340,-124,-36
1786,2028,3340,-124,-36
1789,2028,3340,-124,-36
1790,2028,3340,-124,-36
1791,2028,3340,-80,-20
1792,2028,3340,-80,-20
1793,2028,3340,-80,-20
1796,2028,3340,-80,-20
1797,2028,3340,-80,-20
1798,2028,3340,-80,-20
1799,2028,3340,-80,-20
1800,2028,3340,-80,-20
